Dates conducted,Pollster,Client,Lab,Con,Lib,Lead,date_year_appended,end_date
26 May,1955 general election[2],1955 general election[2],46.4%,49.7%,2.7%,3.3%,26 May 1955,1955-05-26
21–24 May,Daily Express,Daily Express,47.2%,50.2%,2.2%,3%,21–24 May 1955,1955-05-24
21–24 May,Gallup,News Chronicle,47.5%,51%,1.5%,4.5%,21–24 May 1955,1955-05-24
17–20 May,Gallup,News Chronicle,47%,51%,2%,4%,17–20 May 1955,1955-05-20
15–17 May,Gallup,News Chronicle,47%,50.5%,2.5%,3.5%,15–17 May 1955,1955-05-17
8–10 May,Gallup,News Chronicle,47%,49.5%,3%,2.5%,8–10 May 1955,1955-05-10
1–3 May,Gallup,News Chronicle,47.5%,48.5%,3%,1%,1–3 May 1955,1955-05-03
Apr,Gallup,News Chronicle,47%,47.5%,5%,0.5%,Apr 1955,1955-04-01
Apr,Gallup,News Chronicle,44%,48%,7%,4%,Apr 1955,1955-04-01
Mar,Gallup,News Chronicle,44.5%,46.5%,8%,2%,Mar 1955,1955-03-01
Feb,Gallup,News Chronicle,44.5%,46.5%,8%,2%,Feb 1955,1955-02-01
Jan,Gallup,News Chronicle,45.5%,46.5%,7%,1%,Jan 1955,1955-01-01
Date(s) Conducted,Pollster,Client,,,,Lead,Date(s) Conducted 1954,
Nov,Gallup,News Chronicle,47%,46%,6%,1%,Nov 1954,1954-11-01
Oct,Gallup,News Chronicle,45.5%,45%,8%,0.5%,Oct 1954,1954-10-01
Sep,Gallup,News Chronicle,48%,43%,8%,5%,Sep 1954,1954-09-01
Aug,Gallup,News Chronicle,48.5%,42.5%,8%,6%,Aug 1954,1954-08-01
Jun,Gallup,News Chronicle,47.5%,45%,7%,2.5%,Jun 1954,1954-06-01
May,Gallup,News Chronicle,47.5%,45.5%,6.5%,2%,May 1954,1954-05-01
16–27 Apr,Gallup,News Chronicle,46%,46.5%,7%,0.5%,16–27 Apr 1954,1954-04-27
31 Mar,Gallup,News Chronicle,45.5%,46%,7%,0.5%,31 Mar 1954,1954-03-31
20–21 Mar,Gallup,News Chronicle,45.5%,46.5%,7%,1%,20–21 Mar 1954,1954-03-21
26 Feb,Gallup,News Chronicle,45.5%,47%,7%,1.5%,26 Feb 1954,1954-02-26
18–28 Feb,Gallup,News Chronicle,44.5%,45%,9%,0.5%,18–28 Feb 1954,1954-02-28
21–31 Jan,Gallup,News Chronicle,46.5%,45.5%,7%,1%,21–31 Jan 1954,1954-01-31
Date(s) Conducted,Pollster,Client,,,,Lead,Date(s) Conducted 1953,
Dec,Gallup,News Chronicle,47%,45%,7%,2%,Dec 1953,1953-12-01
Oct,Gallup,News Chronicle,47.5%,45%,7%,2.5%,Oct 1953,1953-10-01
Sep,Gallup,News Chronicle,47.5%,44.5%,8%,3%,Sep 1953,1953-09-01
Aug,Gallup,News Chronicle,46%,45%,8%,1%,Aug 1953,1953-08-01
Jun,Gallup,News Chronicle,46%,46%,7%,Tie,Jun 1953,1953-06-01
May,Gallup,News Chronicle,45%,47%,7.5%,2%,May 1953,1953-05-01
Apr,Gallup,News Chronicle,45%,47%,7.5%,2%,Apr 1953,1953-04-01
Mar,Gallup,News Chronicle,44.5%,46.5%,8%,2%,Mar 1953,1953-03-01
Feb,Gallup,News Chronicle,46%,42.5%,10%,3.5%,Feb 1953,1953-02-01
Jan,Gallup,News Chronicle,46%,42.5%,10%,3.5%,Jan 1953,1953-01-01
Date(s) Conducted,Pollster,Client,,,,Lead,Date(s) Conducted 1952,
Dec,Gallup,News Chronicle,45.5%,44%,9.5%,1.5%,Dec 1952,1952-12-01
Nov,Gallup,News Chronicle,46.5%,43.5%,9%,3%,Nov 1952,1952-11-01
Oct,Gallup,News Chronicle,48%,41.5%,9%,6.5%,Oct 1952,1952-10-01
Sep,Gallup,News Chronicle,48.5%,41%,9%,7.5%,Sep 1952,1952-09-01
Aug,Gallup,News Chronicle,48%,40%,10.5%,8%,Aug 1952,1952-08-01
July,Gallup,News Chronicle,50%,40%,8.5%,10%,July 1952,
Jun,Gallup,News Chronicle,49%,40.5%,9.5%,8.5%,Jun 1952,1952-06-01
May,Gallup,News Chronicle,49%,43.5%,7%,5.5%,May 1952,1952-05-01
Apr,Gallup,News Chronicle,49%,43.5%,–,5.5%,Apr 1952,1952-04-01
Mar,Gallup,News Chronicle,48%,41.5%,9.5%,6.5%,Mar 1952,1952-03-01
Feb,Gallup,News Chronicle,47%,41%,10.5%,6%,Feb 1952,1952-02-01
Jan,Gallup,News Chronicle,48%,44.5%,6%,3.5%,Jan 1952,1952-01-01
Date(s) Conducted,Pollster,Client,,,,Lead,Date(s) Conducted 1951,
Dec,Gallup,News Chronicle,47%,45%,6.5%,2%,Dec 1951,1951-12-01
25 Oct,1951 general election[2],1951 general election[2],48.8%,48%,2.5%,0.8%,25 Oct 1951,1951-10-25
