Dates conducted,Polling Organisation,Con,Lab,Lib,Lead,date_year_appended,end_date
15 Oct,General Election Results,43.4%,44.1%,11.2%,0.7%,15 Oct 1964,1964-10-15
Oct,Gallup,44.5%,46%,9%,1.5%,Oct 1964,1964-10-01
Oct,Gallup/Daily Telegraph,42.5%,46%,11%,3.5%,Oct 1964,1964-10-01
9–13 Oct,NOP/Daily Mail,44.3%,47.4%,7.9%,3.1%,9–13 Oct 1964,1964-10-13
Oct,Daily Express,44.5%,43.7%,11.1%,0.8%,Oct 1964,1964-10-01
Oct,Daily Express,45.5%,44.6%,9.3%,0.9%,Oct 1964,1964-10-01
5–9 Oct,NOP/Daily Mail,46.2%,46.3%,7.1%,0.1%,5–9 Oct 1964,1964-10-09
Oct,Research Services/Daily Graphic,45%,46%,9%,1%,Oct 1964,1964-10-01
Oct,Gallup,42.5%,50.5%,6.5%,8%,Oct 1964,1964-10-01
Oct,Gallup,42.5%,48.5%,8.5%,6%,Oct 1964,1964-10-01
Oct,Daily Express,46.1%,42.5%,11%,3.6%,Oct 1964,1964-10-01
1–5 Oct,NOP/Daily Mail,45.4%,44.5%,9.8%,0.9%,1–5 Oct 1964,1964-10-05
Oct,Research Services,46%,47%,7%,1%,Oct 1964,1964-10-01
Oct,Gallup/Daily Telegraph,44%,48.5%,7%,4.5%,Oct 1964,1964-10-01
Sep,Gallup/Daily Telegraph,44.5%,47%,8%,2.5%,Sep 1964,1964-09-01
24–28 Sep,NOP/Daily Mail,47.1%,44.1%,8.3%,3%,24–28 Sep 1964,1964-09-28
25 Sep,The 42nd Parliament is dissolved and campaigning officially begins,The 42nd Parliament is dissolved and campaigning officially begins,The 42nd Parliament is dissolved and campaigning officially begins,The 42nd Parliament is dissolved and campaigning officially begins,The 42nd Parliament is dissolved and campaigning officially begins,25 Sep 1964,1964-09-25
Sep,Gallup,44.5%,49%,6%,4.5%,Sep 1964,1964-09-01
Sep,Gallup,46.5%,46%,7.5%,0.5%,Sep 1964,1964-09-01
17–20 Sep,NOP/Daily Mail,45.9%,45.7%,8.1%,0.2%,17–20 Sep 1964,1964-09-20
Sep,Daily Express,48.1%,44.1%,7.6%,4%,Sep 1964,1964-09-01
Sep,Gallup,43%,48%,8.5%,5%,Sep 1964,1964-09-01
10–13 Sep,NOP/Daily Mail,47%,45.4%,7.3%,1.6%,10–13 Sep 1964,1964-09-13
2–9 Sep,Gallup,44%,46.5%,9%,1.5%,2–9 Sep 1964,1964-09-09
3–6 Sep,NOP/Daily Mail,46.5%,44.9%,8.4%,1.6%,3–6 Sep 1964,1964-09-06
Sep,Gallup,43%,49.5%,7%,6.5%,Sep 1964,1964-09-01
27 Aug – 1 Sep,Gallup/Daily Telegraph,41.5%,50%,8%,8.5%,27 Aug – 1 Sep 1964,1964-09-01
20–25 Aug,Gallup/Daily Telegraph,45%,49.5%,5.5%,4.5%,20–25 Aug 1964,1964-08-25
20–23 Aug,NOP/Daily Mail,47.5%,46.5%,5.7%,1%,20–23 Aug 1964,1964-08-23
13–18 Aug,Gallup/Daily Telegraph,41.5%,49.5%,8.5%,8%,13–18 Aug 1964,1964-08-18
6–11 Aug,Gallup/Daily Telegraph,42%,49%,9%,7%,6–11 Aug 1964,1964-08-11
6–9 Aug,NOP/Daily Mail,46.7%,47.3%,5.7%,0.6%,6–9 Aug 1964,1964-08-09
30 Jul – 4 Aug,Gallup/Daily Telegraph,43%,48.5%,8.5%,5.5%,30 Jul – 4 Aug 1964,1964-08-04
22–28 Jul,Gallup/Daily Telegraph,41%,48.5%,10%,7.5%,22–28 Jul 1964,1964-07-28
9–21 Jul,Gallup/Daily Telegraph,42%,49.5%,8%,7.5%,9–21 Jul 1964,1964-07-21
16–19 Jul,NOP/Daily Mail,44.1%,48.2%,7.5%,4.1%,16–19 Jul 1964,1964-07-19
2–7 Jul,Gallup/Daily Telegraph,38.5%,50.5%,10.5%,12%,2–7 Jul 1964,1964-07-07
2–5 Jul,NOP/Daily Mail,44.5%,48.2%,7.1%,3.7%,2–5 Jul 1964,1964-07-05
25–30 Jun,Gallup/Daily Telegraph,41.5%,51%,7%,9.5%,25–30 Jun 1964,1964-06-30
17–23 Jun,Gallup/Daily Telegraph,42%,49%,8.5%,7%,17–23 Jun 1964,1964-06-23
18–21 Jun,NOP/Daily Mail,42.2%,50.5%,7.2%,8.3%,18–21 Jun 1964,1964-06-21
10–16 Jun,Gallup/Daily Telegraph,42%,49.5%,8%,7.5%,10–16 Jun 1964,1964-06-16
4–9 Jun,Gallup/Daily Telegraph,38.5%,51.5%,9%,13%,4–9 Jun 1964,1964-06-09
4–7 Jun,NOP/Daily Mail,42.8%,49.5%,7.4%,6.7%,4–7 Jun 1964,1964-06-07
27 May – 2 Jun,Gallup/Daily Telegraph,42%,47%,10.5%,5%,27 May – 2 Jun 1964,1964-06-02
21–26 May,Gallup/Daily Telegraph,39.5%,51.5%,8.5%,12%,21–26 May 1964,1964-05-26
21–24 May,NOP/Daily Mail,42.2%,49.5%,7.9%,7.3%,21–24 May 1964,1964-05-24
