Dates conducted,Polling Organisation,Lab,Con,Lib,Lead,date_year_appended,end_date
31 Mar,General Election Results,48.0%,41.9%,8.5%,6.1%,31 Mar 1966,1966-03-31
Mar,Harris/Daily Express,54.1%,37.4%,7.7%,16.7%,Mar 1966,1966-03-01
27–29 Mar,NOP/Daily Mail,50.6%,41.6%,7.4%,9%,27–29 Mar 1966,1966-03-29
24–28 Mar,Gallup/Daily Telegraph,51%,40%,8%,11%,24–28 Mar 1966,1966-03-28
Mar,Harris/Daily Express,52.5%,40%,7.5%,12.5%,Mar 1966,1966-03-01
22–26 Mar,NOP/Daily Mail,52.2%,39.6%,7.6%,12.6%,22–26 Mar 1966,1966-03-26
Mar,Research Services,49.7%,41.6%,8.3%,8.1%,Mar 1966,1966-03-01
Mar,Gallup,50.5%,42%,7%,8.5%,Mar 1966,1966-03-01
Mar,Harris/Daily Express,53.5%,39%,7.5%,14.5%,Mar 1966,1966-03-01
Mar,Gallup,50.5%,42%,7%,8.5%,Mar 1966,1966-03-01
16–21 Mar,NOP/Daily Mail,52%,39.5%,7.8%,12.5%,16–21 Mar 1966,1966-03-21
Mar,Research Services,49.7%,42.4%,7.4%,7.3%,Mar 1966,1966-03-01
Mar,Gallup,52%,41.5%,6%,10.5%,Mar 1966,1966-03-01
Mar,Gallup,51%,39%,9.5%,12%,Mar 1966,1966-03-01
Mar,Harris/Daily Express,55%,37.5%,7.5%,17.5%,Mar 1966,1966-03-01
9–14 Mar,NOP/Daily Mail,52.6%,39.2%,7.7%,13.4%,9–14 Mar 1966,1966-03-14
10 Mar,The 43rd Parliament is dissolved and campaigning officially begins,The 43rd Parliament is dissolved and campaigning officially begins,The 43rd Parliament is dissolved and campaigning officially begins,The 43rd Parliament is dissolved and campaigning officially begins,The 43rd Parliament is dissolved and campaigning officially begins,10 Mar 1966,1966-03-10
Mar,Research Services,49.6%,41.9%,8.1%,7.7%,Mar 1966,1966-03-01
Mar,Gallup,52.5%,40.5%,6.5%,12%,Mar 1966,1966-03-01
Mar,Gallup,51%,41%,7.5%,10%,Mar 1966,1966-03-01
Mar,Harris/Daily Express,54.5%,40%,5.5%,14.5%,Mar 1966,1966-03-01
2–7 Mar,NOP/Daily Mail,53.8%,39.4%,6.5%,14.4%,2–7 Mar 1966,1966-03-07
Mar,Harris/Daily Express,54%,39%,7%,15%,Mar 1966,1966-03-01
Mar,Research Services,49.4%,44.9%,5.2%,4.5%,Mar 1966,1966-03-01
Mar,Gallup/Daily Telegraph,51%,40%,7.5%,11%,Mar 1966,1966-03-01
23–28 Feb,NOP/Daily Mail,53%,40.1%,6.7%,12.9%,23–28 Feb 1966,1966-02-28
Feb,Gallup/Daily Telegraph,51%,42%,6.5%,9%,Feb 1966,1966-02-01
10–14 Feb,NOP/Daily Mail,53.8%,39.8%,6.3%,14%,10–14 Feb 1966,1966-02-14
Feb,Gallup/Daily Telegraph,50%,42.5%,7%,7.5%,Feb 1966,1966-02-01
27–31 Jan,NOP/Daily Mail,54.3%,39%,6.4%,15.3%,27–31 Jan 1966,1966-01-31
6–10 Jan,NOP/Daily Mail,53.3%,39.2%,7.3%,14.1%,6–10 Jan 1966,1966-01-10
Jan,Gallup/Daily Telegraph,47.5%,42%,9.5%,5.5%,Jan 1966,1966-01-01
Fieldwork,Polling Organisation,,,,Lead,Fieldwork 1965,
Dec,Gallup/Daily Telegraph,48.5%,40.5%,10%,8%,Dec 1965,1965-12-01
9–13 Dec,NOP/Daily Mail,55.5%,36.3%,8%,19.2%,9–13 Dec 1965,1965-12-13
25–30 Nov,NOP/Daily Mail,50.4%,41.6%,7.7%,8.8%,25–30 Nov 1965,1965-11-30
