Dates conducted,Pollster,Client,Con,Lab,Lib,Lead,date_year_appended,end_date
9 June,1983 general election,1983 general election,42.4%,27.6%,25.4%,14.8%,9 June 1983,1983-06-09
8 Jun,Harris,The Observer,47%,26%,25%,21%,8 Jun 1983,1983-06-08
8 Jun,Gallup,The Daily Telegraph,47%,25%,26%,21%,8 Jun 1983,1983-06-08
8 Jun,Marplan,The Guardian,45.5%,26.5%,26%,19%,8 Jun 1983,1983-06-08
8 Jun,NOP,Northcliffe,46%,26%,26%,20%,8 Jun 1983,1983-06-08
8 Jun,MORI,Evening Standard,47%,25%,26%,21%,8 Jun 1983,1983-06-08
8 Jun,NOP,Daily Mail,44%,28%,26%,16%,8 Jun 1983,1983-06-08
7 Jun,Audience Selection,The Sun,46%,28%,24%,18%,7 Jun 1983,1983-06-07
7 Jun,Marplan,The Guardian,46%,23%,29%,17%,7 Jun 1983,1983-06-07
6 Jun,Audience Selection,The Sun,47%,26%,25%,21%,6 Jun 1983,1983-06-06
5 Jun,Harris,The Observer,45%,24%,28%,17%,5 Jun 1983,1983-06-05
3 Jun,Marplan,Sunday Mirror,47%,28%,23%,19%,3 Jun 1983,1983-06-03
3 Jun,NOP,The Mail on Sunday,44%,27%,27.5%,16.5%,3 Jun 1983,1983-06-03
3 Jun,Gallup,The Sunday Telegraph,47%,29%,23%,18%,3 Jun 1983,1983-06-03
2 Jun,MORI,The Sunday Times,45.5%,31.5%,22%,14%,2 Jun 1983,1983-06-02
2 Jun,MORI,Daily Express,45%,28%,25%,17%,2 Jun 1983,1983-06-02
2 Jun,Marplan,The Guardian,43%,32%,23%,11%,2 Jun 1983,1983-06-02
1 Jun,Harris,TV-Eye,47%,30%,22%,17%,1 Jun 1983,1983-06-01
1 Jun,MORI,Daily Star,46%,28%,24%,18%,1 Jun 1983,1983-06-01
31 May,Audience Selection,The Sun,44%,32%,21%,12%,31 May 1983,1983-05-31
31 May,Gallup,The Daily Telegraph,44%,29%,25%,15%,31 May 1983,1983-05-31
30 May,Audience Selection,TV-AM,47.5%,28%,23%,19.5%,30 May 1983,1983-05-30
30 May,Harris,The Observer,41%,30%,24%,11%,30 May 1983,1983-05-30
27 May,Marplan,Sunday Mirror,47%,30%,21%,17%,27 May 1983,1983-05-27
27 May,Gallup,The Daily Telegraph,49.5%,31%,19%,18.5%,27 May 1983,1983-05-27
26 May,MORI,Daily Express,49%,31.5%,18%,17.5%,26 May 1983,1983-05-26
26 May,Marplan,The Guardian,51%,29%,19%,22%,26 May 1983,1983-05-26
25 May,Harris,Thames,47.5%,32.5%,19%,15%,25 May 1983,1983-05-25
25 May,MORI,The Sunday Times,48%,33%,18%,15%,25 May 1983,1983-05-25
25 May,Audience Selection,The Sun,46%,30%,23%,16%,25 May 1983,1983-05-25
