Dates conducted,Pollster,Client,Con,Lab,Lib,Lead,date_year_appended,SDP,SLD,end_date
9 Apr,1992 general election[4],1992 general election[4],42.8%,35.2%,18.3%,7.6%,9 Apr 1992,,,1992-04-09
8 Apr,NOP,The Independent,39%,42%,17%,3%,8 Apr 1992,,,1992-04-08
8 Apr,Gallup,The Daily Telegraph,38.5%,38%,20%,0.5%,8 Apr 1992,,,1992-04-08
8 Apr,MORI,The Times,38%,39%,20%,1%,8 Apr 1992,,,1992-04-08
7 Apr,ICM,The Guardian,38%,38%,20%,Tie,7 Apr 1992,,,1992-04-07
7 Apr,Harris,ITN,38%,40%,18%,2%,7 Apr 1992,,,1992-04-07
6 Apr,MORI,YTV,37%,40%,20%,3%,6 Apr 1992,,,1992-04-06
4 Apr,Harris,Daily Express,37%,38%,21%,1%,4 Apr 1992,,,1992-04-04
4 Apr,Harris,The Observer,38%,40%,17%,2%,4 Apr 1992,,,1992-04-04
3 Apr,NOP,The Mail on Sunday,35%,41%,20%,6%,3 Apr 1992,,,1992-04-03
3 Apr,MORI,The Sunday Times,37%,39%,21%,2%,3 Apr 1992,,,1992-04-03
3 Apr,Gallup,The Sunday Telegraph,37.5%,37.5%,21%,Tie,3 Apr 1992,,,1992-04-03
3 Apr,NOP,The Independent on Sunday,38%,41%,17%,3%,3 Apr 1992,,,1992-04-03
3 Apr,ICM,Press Association,36.2%,38.7%,20.4%,2.5%,3 Apr 1992,,,1992-04-03
1 Apr,ICM,Sunday Express,37%,39%,19%,2%,1 Apr 1992,,,1992-04-01
1 Apr,Gallup,The Daily Telegraph,38%,37.5%,20.5%,0.5%,1 Apr 1992,,,1992-04-01
31 Mar,NOP,The Independent,37%,39%,19%,2%,31 Mar 1992,,,1992-03-31
31 Mar,Neilsen,,39.8%,39.6%,17.2%,0.2%,31 Mar 1992,,,1992-03-31
31 Mar,Harris,ITN,35%,41%,19%,6%,31 Mar 1992,,,1992-03-31
30 Mar,ICM,The Guardian,37%,41%,18%,4%,30 Mar 1992,,,1992-03-30
30 Mar,Harris,Daily Express,40%,39%,17%,1%,30 Mar 1992,,,1992-03-30
29 Mar,MORI,The Times,35%,42%,19%,7%,29 Mar 1992,,,1992-03-29
28 Mar,Audience Selection,,37%,39%,19%,2%,28 Mar 1992,,,1992-03-28
28 Mar,NOP,The Independent on Sunday,39%,40%,16%,1%,28 Mar 1992,,,1992-03-28
27 Mar,NOP,The Mail on Sunday,37%,41%,18%,4%,27 Mar 1992,,,1992-03-27
27 Mar,MORI,The Sunday Times,38%,40%,20%,2%,27 Mar 1992,,,1992-03-27
27 Mar,Harris,The Observer,40%,38%,17%,2%,27 Mar 1992,,,1992-03-27
25 Mar,ICM,Sunday Express,36%,38%,20%,2%,25 Mar 1992,,,1992-03-25
25 Mar,NOP,The Independent,39%,42%,14%,3%,25 Mar 1992,,,1992-03-25
24 Mar,Gallup,The Daily Telegraph,40%,40.5%,16.5%,0.5%,24 Mar 1992,,,1992-03-24
24 Mar,MORI,,38%,41%,17%,3%,24 Mar 1992,,,1992-03-24
24 Mar,ICM,The Guardian,39%,40%,17%,1%,24 Mar 1992,,,1992-03-24
23 Mar,NMR,EUR,38%,39%,19%,1%,23 Mar 1992,,,1992-03-23
23 Mar,Harris,Daily Express,43%,38%,15%,5%,23 Mar 1992,,,1992-03-23
23 Mar,Harris,ITN,38%,42%,16%,4%,23 Mar 1992,,,1992-03-23
21 Mar,MORI,The Times,38%,41%,17%,3%,21 Mar 1992,,,1992-03-21
21 Mar,NOP,The Independent on Sunday,38%,40%,16%,2%,21 Mar 1992,,,1992-03-21
20 Mar,NOP,The Mail on Sunday,39%,41%,15%,2%,20 Mar 1992,,,1992-03-20
20 Mar,MORI,The Sunday Times,38%,41%,19%,3%,20 Mar 1992,,,1992-03-20
20 Mar,Harris,The Observer,40%,39%,17%,1%,20 Mar 1992,,,1992-03-20
18 Mar,ICM,Sunday Express,37%,42%,16%,5%,18 Mar 1992,,,1992-03-18
18 Mar,Gallup,The Daily Telegraph,40.5%,38.5%,18%,2%,18 Mar 1992,,,1992-03-18
17 Mar,NOP,The Independent,38%,42%,17%,4%,17 Mar 1992,,,1992-03-17
16 Mar,ICM,The Guardian,38%,43%,16%,5%,16 Mar 1992,,,1992-03-16
16 Mar,Harris,Daily Express,41%,38%,17%,3%,16 Mar 1992,,,1992-03-16
13 Mar,MORI,The Times,38%,43%,16%,5%,13 Mar 1992,,,1992-03-13
13 Mar,Harris,Daily Express,39%,40%,16%,1%,13 Mar 1992,,,1992-03-13
13 Mar,Harris,London Weekend Television,37%,41%,17%,4%,13 Mar 1992,,,1992-03-13
13 Mar,MORI,The Sunday Times,40%,39%,16%,1%,13 Mar 1992,,,1992-03-13
13 Mar,NOP,The Independent on Sunday,40%,41%,14%,1%,13 Mar 1992,,,1992-03-13
12 Mar,ICM,Sunday Express,39%,40%,16%,1%,12 Mar 1992,,,1992-03-12
12 Mar,MORI,The Times,38%,41%,16%,3%,12 Mar 1992,,,1992-03-12
12 Mar,Harris,The Observer,40%,43%,12%,3%,12 Mar 1992,,,1992-03-12
11 Mar,Gallup,,41%,38.5%,15%,2.5%,11 Mar 1992,,,1992-03-11
10 Mar,NOP,The Mail on Sunday,41%,40%,15%,1%,10 Mar 1992,,,1992-03-10
7 Mar,Gallup,The Daily Telegraph,37%,38%,20%,1%,7 Mar 1992,,,1992-03-07
7 Mar,NOP,The Mail on Sunday,38%,41%,16%,3%,7 Mar 1992,,,1992-03-07
6 Mar,ICM,The Guardian,39%,42%,15%,3%,6 Mar 1992,,,1992-03-06
2 Mar,Harris,The Observer,39%,40%,14%,1%,2 Mar 1992,,,1992-03-02
25 Feb,Gallup,The Daily Telegraph,38.5%,38.5%,18.5%,Tie,25 Feb 1992,,,1992-02-25
25 Feb,Gallup,The Daily Telegraph,37%,37.5%,20%,0.5%,25 Feb 1992,,,1992-02-25
23 Feb,MORI,The Sunday Times,39%,40%,18%,1%,23 Feb 1992,,,1992-02-23
22 Feb,Audience Selection,,36%,38%,18%,2%,22 Feb 1992,,,1992-02-22
