Dates conducted,Pollster/Client,Con,Lab,Lib,Lead,date_year_appended,end_date
1 May,1997 general election,30.7%,43.2%,16.8%,12.5%,1 May 1997,1997-05-01
30 Apr,ICM/Guardian,33%,43%,18%,10%,30 Apr 1997,1997-04-30
30 Apr,Gallup/Telegraph,33%,46%,16%,13%,30 Apr 1997,1997-04-30
30 Apr,MORI/Evening Standard,29%,47%,19%,18%,30 Apr 1997,1997-04-30
29 Apr,Gallup/Telegraph,31%,51%,13%,20%,29 Apr 1997,1997-04-29
29 Apr,Harris/Independent,31%,48%,15%,17%,29 Apr 1997,1997-04-29
29 Apr,MORI/Times,27%,51%,15%,24%,29 Apr 1997,1997-04-29
29 Apr,NOP/Reuters,28%,50%,14%,22%,29 Apr 1997,1997-04-29
28 Apr,Gallup/Channel 4,31%,49%,14%,18%,28 Apr 1997,1997-04-28
28 Apr,Gallup/Telegraph,29%,51%,13%,22%,28 Apr 1997,1997-04-28
27 Apr,Gallup/Telegraph,30%,49%,14%,19%,27 Apr 1997,1997-04-27
26 Apr,Gallup/Sunday Telegraph,31%,48%,13%,17%,26 Apr 1997,1997-04-26
25 Apr,Gallup/Telegraph,32%,48%,14%,16%,25 Apr 1997,1997-04-25
25 Apr,ICM/Observer,32%,47%,16%,15%,25 Apr 1997,1997-04-25
25 Apr,NOP/Sunday Times,29%,47%,16%,18%,25 Apr 1997,1997-04-25
24 Apr,Gallup/Telegraph,32%,48%,12%,16%,24 Apr 1997,1997-04-24
24 Apr,MORI/Independent on Sunday,29%,53%,12%,24%,24 Apr 1997,1997-04-24
23 Apr,Gallup/Telegraph,30%,50%,12%,20%,23 Apr 1997,1997-04-23
22 Apr,Gallup/Channel 4,31%,50%,13%,19%,22 Apr 1997,1997-04-22
22 Apr,Gallup/Telegraph,30%,51%,12%,21%,22 Apr 1997,1997-04-22
22 Apr,MORI/Times,27%,48%,17%,21%,22 Apr 1997,1997-04-22
21 Apr,Gallup/Telegraph,32%,48%,12%,16%,21 Apr 1997,1997-04-21
21 Apr,ICM/Guardian,37%,42%,14%,5%,21 Apr 1997,1997-04-21
20 Apr,Gallup/Telegraph,32%,48%,13%,16%,20 Apr 1997,1997-04-20
20 Apr,Harris/Independent,30%,48%,15%,18%,20 Apr 1997,1997-04-20
19 Apr,Gallup/Sunday Telegraph,31%,50%,13%,19%,19 Apr 1997,1997-04-19
18 Apr,Gallup/Telegraph,32%,50%,13%,18%,18 Apr 1997,1997-04-18
18 Apr,ICM/Observer,31%,48%,15%,17%,18 Apr 1997,1997-04-18
18 Apr,NOP/Sunday Times,29%,47%,17%,18%,18 Apr 1997,1997-04-18
17 Apr,Gallup/Telegraph,31%,50%,12%,19%,17 Apr 1997,1997-04-17
16 Apr,Gallup/Telegraph,31%,50%,11%,19%,16 Apr 1997,1997-04-16
15 Apr,Gallup/Telegraph,30%,51%,12%,21%,15 Apr 1997,1997-04-15
15 Apr,MORI/Times,32%,49%,13%,17%,15 Apr 1997,1997-04-15
14 Apr,Gallup/Telegraph,32%,49%,14%,17%,14 Apr 1997,1997-04-14
14 Apr,Harris/Independent,31%,49%,13%,18%,14 Apr 1997,1997-04-14
14 Apr,ICM/Guardian,31%,45%,19%,14%,14 Apr 1997,1997-04-14
14 Apr,MORI/Evening Standard,29%,50%,15%,21%,14 Apr 1997,1997-04-14
13 Apr,Gallup/Telegraph,30%,50%,14%,20%,13 Apr 1997,1997-04-13
12 Apr,Gallup/Sunday Telegraph,31%,50%,13%,19%,12 Apr 1997,1997-04-12
12 Apr,Gallup/Telegraph,32%,49%,14%,17%,12 Apr 1997,1997-04-12
11 Apr,Gallup/Telegraph,32%,52%,11%,20%,11 Apr 1997,1997-04-11
11 Apr,ICM/Observer,32%,48%,15%,16%,11 Apr 1997,1997-04-11
11 Apr,NOP/Sunday Times,28%,49%,16%,21%,11 Apr 1997,1997-04-11
10 Apr,Gallup/Telegraph,30%,52%,11%,22%,10 Apr 1997,1997-04-10
9 Apr,Gallup/Telegraph,29%,53%,12%,24%,9 Apr 1997,1997-04-09
8 Apr,Gallup/Telegraph,32%,51%,11%,19%,8 Apr 1997,1997-04-08
8 Apr,MORI/Times,34%,49%,12%,15%,8 Apr 1997,1997-04-08
7 Apr,Gallup/Telegraph,33%,53%,10%,20%,7 Apr 1997,1997-04-07
7 Apr,Harris/Independent,28%,54%,12%,26%,7 Apr 1997,1997-04-07
7 Apr,ICM/Guardian,34%,46%,15%,12%,7 Apr 1997,1997-04-07
6 Apr,Gallup/Telegraph,30%,55%,10%,25%,6 Apr 1997,1997-04-06
4 Apr,ICM/Observer,30%,50%,14%,20%,4 Apr 1997,1997-04-04
4 Apr,MORI/Independent on Sunday,30%,55%,9%,25%,4 Apr 1997,1997-04-04
4 Apr,NOP/Reuters,29%,52%,11%,23%,4 Apr 1997,1997-04-04
4 Apr,NOP/Sunday Times,26%,53%,12%,27%,4 Apr 1997,1997-04-04
3 Apr,Gallup/Channel 4,30%,54%,11%,24%,3 Apr 1997,1997-04-03
3 Apr,Harris/Central News,29%,55%,11%,26%,3 Apr 1997,1997-04-03
1 Apr,MORI/Times,28%,55%,11%,27%,1 Apr 1997,1997-04-01
31 Mar,Harris/Independent,28%,52%,14%,24%,31 Mar 1997,1997-03-31
31 Mar,ICM/Guardian,32%,46%,17%,14%,31 Mar 1997,1997-03-31
28 Mar,Gallup/Telegraph,31%,52%,11%,21%,28 Mar 1997,1997-03-28
24 Mar,Harris/Independent,28%,56%,10%,28%,24 Mar 1997,1997-03-24
24 Mar,MORI/Times,29%,50%,14%,21%,24 Mar 1997,1997-03-24
21 Mar,Gallup/Sunday Telegraph,27%,56%,11%,29%,21 Mar 1997,1997-03-21
17 Mar,Gallup/Telegraph,28.5%,56.5%,9.5%,28%,17 Mar 1997,1997-03-17
17 Mar,Harris/Independent,27%,58%,10%,31%,17 Mar 1997,1997-03-17
14 Mar,NOP/Reuters,29%,54%,11%,25%,14 Mar 1997,1997-03-14
13 Mar,NOP/Sunday Times,26%,54%,13%,28%,13 Mar 1997,1997-03-13
10 Mar,Harris/Independent,26%,53%,14%,27%,10 Mar 1997,1997-03-10
9 Mar,ORB/Ladbrokes,26%,56%,12%,30%,9 Mar 1997,1997-03-09
4 Mar,Gallup/Telegraph,28%,54%,12.5%,26%,4 Mar 1997,1997-03-04
3 Mar,Harris/Independent,30%,55%,10%,25%,3 Mar 1997,1997-03-03
2 Mar,ICM/Guardian,30%,48%,16%,18%,2 Mar 1997,1997-03-02
24 Feb,MORI/Times,31%,52%,11%,21%,24 Feb 1997,1997-02-24
21 Feb,NOP/Reuters,29%,51%,14%,22%,21 Feb 1997,1997-02-21
13 Feb,NOP/Sunday Times,30%,49%,13%,19%,13 Feb 1997,1997-02-13
4 Feb,Gallup/Telegraph,34%,49%,12%,15%,4 Feb 1997,1997-02-04
2 Feb,ICM/Guardian,32%,48%,15%,16%,2 Feb 1997,1997-02-02
28 Jan,MORI/Times,30%,55%,11%,25%,28 Jan 1997,1997-01-28
16 Jan,NOP/Sunday Times,31%,54%,12%,23%,16 Jan 1997,1997-01-16
15 Jan,Gallup/Telegraph,32.5%,50.5%,10.5%,18%,15 Jan 1997,1997-01-15
5 Jan,ICM/Guardian,31%,48%,16%,17%,5 Jan 1997,1997-01-05
5 Jan,ORB/Ladbrokes,30%,53%,12%,23%,5 Jan 1997,1997-01-05
Survey end date,Pollster/Client,,,,Lead,Survey end date 1996,
14 Dec,ICM/Observer,30%,50%,14%,20%,14 Dec 1996,1996-12-14
9 Dec,MORI/Times,30%,51%,13%,21%,9 Dec 1996,1996-12-09
2 Dec,Gallup/Telegraph,22%,59%,12%,37%,2 Dec 1996,1996-12-02
1 Dec,ICM/Guardian,31%,50%,15%,19%,1 Dec 1996,1996-12-01
29 Nov,MORI/Euro,30%,52%,13%,22%,29 Nov 1996,1996-11-29
14 Nov,NOP/Sunday Times,26%,56%,13%,30%,14 Nov 1996,1996-11-14
11 Nov,MORI/Times,33%,50%,12%,17%,11 Nov 1996,1996-11-11
5 Nov,Gallup/Telegraph,28%,55%,11%,17%,5 Nov 1996,1996-11-05
2 Nov,ICM/Guardian,34%,47%,15%,13%,2 Nov 1996,1996-11-02
1 Nov,MORI/Mail on Sunday,30%,54%,12%,24%,1 Nov 1996,1996-11-01
28 Oct,MORI/Times,28%,56%,12%,18%,28 Oct 1996,1996-10-28
21 Oct,MORI,27%,54%,12%,17%,21 Oct 1996,1996-10-21
17 Oct,NOP/Sunday Times,33%,47%,14%,24%,17 Oct 1996,1996-10-17
14 Oct,MORI,30%,53%,12%,23%,14 Oct 1996,1996-10-14
7 Oct,MORI,29%,54%,13%,25%,7 Oct 1996,1996-10-07
5 Oct,ICM/Guardian,31%,49%,16%,18%,5 Oct 1996,1996-10-05
4 Oct,Gallup/Telegraph,24%,57%,15%,33%,4 Oct 1996,1996-10-04
3 Oct,NOP/Sunday Times,25%,57%,13%,32%,3 Oct 1996,1996-10-03
1 Oct,Gallup/Telegraph,27.5%,52%,15%,24.5%,1 Oct 1996,1996-10-01
24 Sep,Gallup/Telegraph,27%,54%,13.5%,27%,24 Sep 1996,1996-09-24
23 Sep,MORI/Times,29%,52%,14%,23%,23 Sep 1996,1996-09-23
19 Sep,NOP/Sunday Times,31%,50%,14%,19%,19 Sep 1996,1996-09-19
9 Sep,MORI,28%,56%,12%,28%,9 Sep 1996,1996-09-09
7 Sep,ICM/Guardian,32%,47%,16%,15%,7 Sep 1996,1996-09-07
3 Sep,Gallup/Telegraph,25.5%,58.5%,11%,33%,3 Sep 1996,1996-09-03
25 Aug,MORI/Times,30%,51%,13%,27%,25 Aug 1996,1996-08-25
15 Aug,NOP/Sunday Times,28%,54%,14%,26%,15 Aug 1996,1996-08-15
12 Aug,MORI,30%,52%,13%,22%,12 Aug 1996,1996-08-12
5 Aug,Gallup/Telegraph,25%,59%,11%,34%,5 Aug 1996,1996-08-05
3 Aug,ICM/Guardian,33%,45%,19%,12%,3 Aug 1996,1996-08-03
28 Jul,MORI/Times,29%,53%,12%,24%,28 Jul 1996,1996-07-28
25 Jul,NOP/Sunday Times,29%,51%,16%,22%,25 Jul 1996,1996-07-25
6 Jul,ICM/Guardian,30%,45%,21%,15%,6 Jul 1996,1996-07-06
1 Jul,Gallup/Telegraph,26%,54.5%,14.5%,28.5%,1 Jul 1996,1996-07-01
1 Jul,MORI,32%,52%,12%,20%,1 Jul 1996,1996-07-01
24 Jun,MORI/Times,31%,52%,12%,21%,24 Jun 1996,1996-06-24
20 Jun,NOP/Sunday Times,27%,55%,15%,28%,20 Jun 1996,1996-06-20
10 Jun,MORI,27%,56%,13%,29%,10 Jun 1996,1996-06-10
6 Jun,ICM/Guardian,30%,46%,19%,16%,6 Jun 1996,1996-06-06
3 Jun,Gallup/Telegraph,22.5%,57%,16%,34.5%,3 Jun 1996,1996-06-03
2 Jun,ICM/Guardian,30%,46%,19%,16%,2 Jun 1996,1996-06-02
30 May,1996 Northern Ireland Forum election[1],1996 Northern Ireland Forum election[1],1996 Northern Ireland Forum election[1],1996 Northern Ireland Forum election[1],1996 Northern Ireland Forum election[1],30 May 1996,1996-05-30
26 May,MORI/Times,27%,54%,15%,27%,26 May 1996,1996-05-26
16 May,NOP/Sunday Times,27%,52%,17%,25%,16 May 1996,1996-05-16
13 May,MORI,27%,56%,13%,29%,13 May 1996,1996-05-13
6 May,Gallup/Telegraph,24.5%,55.5%,15.5%,31%,6 May 1996,1996-05-06
5 May,ICM/Guardian,28%,45%,21%,17%,5 May 1996,1996-05-05
3 May,ICM/Sunday Express,26%,52%,15%,26%,3 May 1996,1996-05-03
2 May,1996 local elections[2],1996 local elections[2],1996 local elections[2],1996 local elections[2],1996 local elections[2],2 May 1996,1996-05-02
27 Apr,MORI/Sun,29%,54%,13%,25%,27 Apr 1996,1996-04-27
25 Apr,NOP/Sunday Times,28%,52%,16%,24%,25 Apr 1996,1996-04-25
22 Apr,MORI/Times,28%,54%,14%,26%,22 Apr 1996,1996-04-22
13 Apr,ICM/Guardian,29%,50%,17%,21%,13 Apr 1996,1996-04-13
1 Apr,Gallup/Telegraph,26%,55.5%,15.5%,29.5%,1 Apr 1996,1996-04-01
25 Mar,MORI/Times,28%,57%,13%,29%,25 Mar 1996,1996-03-25
14 Mar,NOP/Sunday Times,27%,55%,14%,28%,14 Mar 1996,1996-03-14
11 Mar,MORI,29%,55%,13%,26%,11 Mar 1996,1996-03-11
4 Mar,Gallup/Telegraph,23%,57.5%,16%,34.5%,4 Mar 1996,1996-03-04
4 Mar,ICM/Guardian,31%,45%,20%,14%,4 Mar 1996,1996-03-04
26 Feb,MORI/Times,26%,57%,14%,31%,26 Feb 1996,1996-02-26
16 Feb,NOP/Sunday Times,25%,54%,16%,29%,16 Feb 1996,1996-02-16
12 Feb,MORI,26%,57%,14%,31%,12 Feb 1996,1996-02-12
5 Feb,Gallup/Telegraph,28%,54.5%,14.5%,26.5%,5 Feb 1996,1996-02-05
4 Feb,ICM/Guardian,31%,47%,19%,16%,4 Feb 1996,1996-02-04
29 Jan,MORI,28%,54%,15%,26%,29 Jan 1996,1996-01-29
22 Jan,MORI/Times,29%,55%,13%,26%,22 Jan 1996,1996-01-22
19 Jan,NOP/Sunday Times,25%,54%,18%,25%,19 Jan 1996,1996-01-19
17 Jan,NOP,33%,47%,14%,14%,17 Jan 1996,1996-01-17
8 Jan,Gallup/Telegraph,21%,60.5%,14.5%,39.5%,8 Jan 1996,1996-01-08
6 Jan,ICM/Guardian,26%,48%,22%,22%,6 Jan 1996,1996-01-06
3 Jan,NOP/Sunday Times,29%,52%,13%,23%,3 Jan 1996,1996-01-03
Survey end date,Pollster/Client,,,,Lead,Survey end date 1995,
15 Dec,NOP/Sunday Times,25%,55%,16%,30%,15 Dec 1995,1995-12-15
14 Dec,ICM/Observer,30%,50%,14%,20%,14 Dec 1995,1995-12-14
9 Dec,ICM/Guardian,26%,48%,22%,22%,9 Dec 1995,1995-12-09
4 Dec,Gallup/Telegraph,23%,62%,12%,39%,4 Dec 1995,1995-12-04
4 Dec,MORI/Times,28%,55%,13%,27%,4 Dec 1995,1995-12-04
1 Dec,NOP/Sunday Times,25%,57%,15%,32%,1 Dec 1995,1995-12-01
20 Nov,MORI/Times,26%,56%,14%,30%,20 Nov 1995,1995-11-20
17 Nov,NOP/Sunday Times,27%,56%,13%,29%,17 Nov 1995,1995-11-17
5 Nov,ICM/Guardian,31%,48%,16%,17%,5 Nov 1995,1995-11-05
30 Oct,Gallup/Telegraph,21.5%,61%,14.5%,39.5%,30 Oct 1995,1995-10-30
23 Oct,MORI/Times,27%,56%,13%,29%,23 Oct 1995,1995-10-23
20 Oct,NOP/Sunday Times,23%,59%,15%,36%,20 Oct 1995,1995-10-20
7 Oct,ICM/Guardian,30%,47%,19%,17%,7 Oct 1995,1995-10-07
2 Oct,Gallup/Telegraph,25.5%,55.5%,14%,30%,2 Oct 1995,1995-10-02
