Dates conducted,Pollster,Client,Sample size,Lab,Con,Lib,Others,Lead,date_year_appended,end_date
7 Jun,2001 general election[6],2001 general election[6],–,40.7%,31.7%,18.3%,9.3%,9%,7 Jun 2001,2001-06-07
6 Jun,Gallup,The Daily Telegraph,2399,47%,30%,18%,?,17%,6 Jun 2001,2001-06-06
5–6 Jun,MORI,The Times,1906,45%,30%,18%,?,15%,5–6 Jun 2001,2001-06-06
2–4 Jun,ICM,The Guardian,1009,43%,32%,19%,6%,11%,2–4 Jun 2001,2001-06-04
2–3 Jun,ICM,Evening Standard,1381,47%,30%,18%,?,17%,2–3 Jun 2001,2001-06-03
3 Jun,Rasmussen,The Independent,?,44%,33%,16%,?,11%,3 Jun 2001,2001-06-03
31 May – 2 Jun,MORI,The Sunday Telegraph,1070,50%,27%,17%,?,23%,31 May – 2 Jun 2001,2001-06-02
31 May – 1 Jun,ICM,The Observer,1005,46%,34%,15%,?,12%,31 May – 1 Jun 2001,2001-06-01
31 May – 1 Jun,NOP,The Sunday Times,1105,47%,30%,16%,?,17%,31 May – 1 Jun 2001,2001-06-01
30 May – 1 Jun,ICM,Channel 4,1007,43%,31%,19%,?,12%,30 May – 1 Jun 2001,2001-06-01
29 May,MORI,The Times,1013,48%,30%,16%,?,18%,29 May 2001,2001-05-29
28–29 May,Gallup,The Daily Telegraph,1462,47%,31%,16%,?,16%,28–29 May 2001,2001-05-29
26–28 May,ICM,The Guardian,1000,47%,28%,17%,8%,19%,26–28 May 2001,2001-05-28
27 May,Rasmussen,The Independent,?,44%,32%,17%,?,12%,27 May 2001,2001-05-27
24–25 May,NOP,The Sunday Times,?,49%,30%,14%,?,19%,24–25 May 2001,2001-05-25
21–23 May,Gallup,The Daily Telegraph,1000,48%,32%,15%,?,16%,21–23 May 2001,2001-05-23
22 May,MORI,Times,1066,52%,27%,16%,?,25%,22 May 2001,2001-05-22
22 May,Rasmussen,The Independent,?,44%,32%,16%,?,12%,22 May 2001,2001-05-22
19–21 May,ICM,The Guardian,1000,45%,32%,17%,7%,13%,19–21 May 2001,2001-05-21
20 May,Gallup,BES,?,55%,25%,14%,?,30%,20 May 2001,2001-05-20
17–18 May,NOP,The Sunday Times,1107,49%,30%,14%,?,19%,17–18 May 2001,2001-05-18
15 May,MORI,The Times,1019,54%,28%,12%,6%,26%,15 May 2001,2001-05-15
14–15 May,Gallup,The Daily Telegraph,1004,48%,32%,13%,7%,16%,14–15 May 2001,2001-05-15
13–14 May,ICM,The Guardian,1004,46%,31%,16%,7%,15%,13–14 May 2001,2001-05-14
14 May,Gallup,BES,?,53%,32%,11%,?,21%,14 May 2001,2001-05-14
10–14 May,MORI,The Economist,1846,54%,26%,14%,6%,28%,10–14 May 2001,2001-05-14
14 May,Parliament dissolved and official campaign period begins[7],Parliament dissolved and official campaign period begins[7],Parliament dissolved and official campaign period begins[7],Parliament dissolved and official campaign period begins[7],Parliament dissolved and official campaign period begins[7],Parliament dissolved and official campaign period begins[7],Parliament dissolved and official campaign period begins[7],Parliament dissolved and official campaign period begins[7],14 May 2001,2001-05-14
11–13 May,ICM,Evening Standard,1437,48%,32%,14%,6%,16%,11–13 May 2001,2001-05-13
13 May,Rasmussen,The Independent,1004,46%,32%,13%,9%,14%,13 May 2001,2001-05-13
10–12 May,MORI,The Sunday Telegraph,1030,51%,31%,13%,5%,20%,10–12 May 2001,2001-05-12
10–11 May,ICM,The Observer,1011,48%,32%,15%,5%,16%,10–11 May 2001,2001-05-11
