Pollster,Client,Dates conducted,Sample size,Lab,Con,Lib,Others,Lead,date_year_appended,end_date
2005 general election,2005 general election,5 May,–,36.2%,33.2%,22.7%,7.9%,3.0%,5 May 2005,2005-05-05
Ipsos MORI,Evening Standard,3–4 May,1164,38%,33%,23%,6%,5%,3–4 May 2005,2005-05-04
Populus,The Times,2–3 May,1174,38%,32%,21%,8%,6%,2–3 May 2005,2005-05-03
ICM,The Guardian,1–3 May,1178,38%,32%,22%,8%,6%,1–3 May 2005,2005-05-03
Populus,The Times,29 Apr – 2 May,866,41%,27%,23%,9%,14%,29 Apr – 2 May 2005,2005-05-02
Populus,The Times,27–30 Apr,863,42%,29%,21%,8%,13%,27–30 Apr 2005,2005-04-30
Populus,The Times,25–28 Apr,853,40%,31%,22%,7%,9%,25–28 Apr 2005,2005-04-28
Populus,The Times,24–27 Apr,841,40%,31%,21%,8%,9%,24–27 Apr 2005,2005-04-27
ICM,The Guardian,24–26 Apr,1209,40%,32%,21%,5%,8%,24–26 Apr 2005,2005-04-26
Populus,The Times,23–26 Apr,835,40%,31%,21%,8%,9%,23–26 Apr 2005,2005-04-26
Populus,The Times,22–25 Apr,831,40%,31%,21%,8%,9%,22–25 Apr 2005,2005-04-25
Populus,The Times,21–24 Apr,819,41%,33%,19%,7%,8%,21–24 Apr 2005,2005-04-24
Populus,The Times,20–23 Apr,798,41%,32%,20%,7%,9%,20–23 Apr 2005,2005-04-23
Populus Online,The Times Online,19–22 Apr,798,41%,33%,20%,6%,8%,19–22 Apr 2005,2005-04-22
Populus,The Times,18–21 Apr,806,40%,33%,20%,7%,7%,18–21 Apr 2005,2005-04-21
Populus,The Times,17–20 Apr,836,39%,34%,20%,7%,5%,17–20 Apr 2005,2005-04-20
ICM,The Guardian,17–19 Apr,1163,39%,33%,22%,7%,6%,17–19 Apr 2005,2005-04-19
Populus,The Times,16–19 Apr,863,39%,33%,21%,7%,6%,16–19 Apr 2005,2005-04-19
Populus,The Times,14–17 Apr,586,40%,31%,21%,8%,9%,14–17 Apr 2005,2005-04-17
ICM,The Guardian,10–12 Apr,1169,39%,33%,22%,7%,6%,10–12 Apr 2005,2005-04-12
ICM,The Guardian,1–3 Apr,973,37%,34%,21%,8%,3%,1–3 Apr 2005,2005-04-03
Populus,The Times,1–3 Apr,812,37%,35%,19%,9%,2%,1–3 Apr 2005,2005-04-03
ICM,The Guardian,18–20 Mar,716,40%,32%,20%,7%,8%,18–20 Mar 2005,2005-03-20
Populus,The Times,4–6 Mar,831,39%,32%,20%,9%,7%,4–6 Mar 2005,2005-03-06
ICM,The Guardian,18–20 Feb,"1,013[2]",37%,34%,21%,8%,3%,18–20 Feb 2005,2005-02-20
Populus,The Times,4–6 Feb,814,41%,32%,18%,9%,9%,4–6 Feb 2005,2005-02-06
ICM,The Guardian,21–23 Jan,"1,000[2]",38%,31%,21%,9%,6%,21–23 Jan 2005,2005-01-23
Populus,The Times,7–9 Jan,848,38%,33%,20%,9%,5%,7–9 Jan 2005,2005-01-09
Pollster,Client,Dates conducted,Sample size,,,,Others,Lead,Dates conducted 2004,
ICM,The Guardian,16–19 Dec,"1,002[2]",40%,31%,21%,7%,9%,16–19 Dec 2004,2004-12-19
Populus,The Times,3–5 Dec,826,37%,33%,20%,10%,4%,3–5 Dec 2004,2004-12-05
ICM,The Guardian,12–14 Nov,830,38%,30%,22%,10%,8%,12–14 Nov 2004,2004-11-14
ICM,The Guardian,22–24 Oct,1011,37%,31%,23%,9%,6%,22–24 Oct 2004,2004-10-24
YouGov,The Daily Telegraph,21–23 Sep,2033,36%,34%,21%,9%,2%,21–23 Sep 2004,2004-09-23
ICM,The Guardian,17–19 Sep,1005,36%,32%,22%,10%,4%,17–19 Sep 2004,2004-09-19
Populus,The Times,2–5 Sep,608,31%,30%,26%,13%,1%,2–5 Sep 2004,2004-09-05
ICM,The Guardian,13–15 Aug,1005,36%,33%,22%,9%,3%,13–15 Aug 2004,2004-08-15
Populus,The Times,30 Jul – 1 Aug,570,32%,32%,24%,12%,Tie,30 Jul – 1 Aug 2004,2004-08-01
ICM,The Guardian,16–18 Jul,1007,35%,30%,25%,10%,5%,16–18 Jul 2004,2004-07-18
Populus,The Times,2–3 Jul,556,33%,29%,24%,14%,4%,2–3 Jul 2004,2004-07-03
Ipsos MORI,Financial Times,18–20 Jun,966,32%,27%,22%,19%,6%,18–20 Jun 2004,2004-06-20
ICM,The Guardian,11–13 Jun,1009,34%,31%,22%,13%,3%,11–13 Jun 2004,2004-06-13
,,10 Jun,2004 European election,2004 European election,2004 European election,2004 European election,2004 European election,2004 European election,10 Jun 2004,2004-06-10
Populus,The Times,4–6 Jun,589,31%,29%,22%,18%,3%,4–6 Jun 2004,2004-06-06
ICM,The Guardian,20–23 May,1001,39%,34%,20%,7%,5%,20–23 May 2004,2004-05-23
Populus,The Times,7–9 May,578,32%,36%,22%,10%,4%,7–9 May 2004,2004-05-09
ICM,The Guardian,16–18 Apr,1002,38%,33%,22%,6%,5%,16–18 Apr 2004,2004-04-18
ICM,The Guardian,10–11 Mar,1014,37%,35%,21%,7%,2%,10–11 Mar 2004,2004-03-11
Populus,The Times,5–7 Mar,573,36%,34%,22%,8%,2%,5–7 Mar 2004,2004-03-07
ICM,The Guardian,20–22 Feb,1006,36%,34%,21%,8%,2%,20–22 Feb 2004,2004-02-22
Populus,The Times,6–8 Feb,580,36%,31%,25%,8%,5%,6–8 Feb 2004,2004-02-08
ICM,The Guardian,16–18 Jan,1007,39%,34%,20%,7%,5%,16–18 Jan 2004,2004-01-18
Populus,The Times,2–4 Jan,566,40%,35%,18%,7%,5%,2–4 Jan 2004,2004-01-04
Pollster,Client,Dates conducted,Sample size,,,,Others,Lead,Dates conducted 2003,
ICM[3],The Guardian,12–14 Dec,1001,38%,33%,21%,8%,5%,12–14 Dec 2003,2003-12-14
Populus,The Times,5–7 Dec,557,35%,33%,22%,10%,2%,5–7 Dec 2003,2003-12-07
ICM[3],The Guardian,14–16 Nov,1002,38%,33%,21%,8%,5%,14–16 Nov 2003,2003-11-16
Populus,The Times,7–9 Nov,554,35%,31%,24%,10%,4%,7–9 Nov 2003,2003-11-09
,,6 Nov,Michael Howard elected Conservative Party leader,Michael Howard elected Conservative Party leader,Michael Howard elected Conservative Party leader,Michael Howard elected Conservative Party leader,Michael Howard elected Conservative Party leader,Michael Howard elected Conservative Party leader,6 Nov 2003,2003-11-06
ICM[3],The Guardian,17–19 Oct,1004,38%,33%,21%,8%,5%,17–19 Oct 2003,2003-10-19
