Pollster,Client,Dates conducted,Sample size,Lab,Con,Lib,Others,Lead,date_year_appended,Polling Organisation / Client,end_date
2010 general election,2010 general election,6 May,–,29.7%,36.9%,23.6%,9.8%,7.2%,6 May 2010,,2010-05-06
Ipsos MORI,Evening Standard,5 May,1216,29%,36%,27%,8%,7%,5 May 2010,,2010-05-05
YouGov,The Sun,4–5 May,6483,28%,35%,28%,9% UKIP on 3%  BNP on 2%  Greens on 1%  SNP on 1%  PC on 1% Other on 1%,7%,4–5 May 2010,,2010-05-05
Harris Interactive[permanent dead link‍],Daily Mail,4–5 May,4014,29%,35%,27%,7%,6%,4–5 May 2010,,2010-05-05
Populus Archived 25 July 2018 at the Wayback Machine,The Times,4–5 May,2505,28%,37%,27%,8%,9%,4–5 May 2010,,2010-05-05
Angus Reid Public Opinion,PoliticalBetting.com,4–5 May,2283,24%,36%,29%,11% UKIP on 4%  BNP on 2%  Greens on 1%  SNP on 2%  PC on 1% Other on 2%,7%,4–5 May 2010,,2010-05-05
Opinium[permanent dead link‍],Daily Express,4–5 May,1383,27%,35%,26%,12%,8%,4–5 May 2010,,2010-05-05
ComRes,Multiple ITV News The Independent,4–5 May,1025,28%,37%,28%,7%,9%,4–5 May 2010,,2010-05-05
ICM[permanent dead link‍],The Guardian,3–4 May,1527,28%,36%,26%,10%,8%,3–4 May 2010,,2010-05-04
YouGov,The Sun,3–4 May,1461,30%,35%,24%,11%,5%,3–4 May 2010,,2010-05-04
TNS-BMRB,,29 Apr – 4 May,1864,27%,33%,29%,11%,4%,29 Apr – 4 May 2010,,2010-05-04
Harris Interactive,The Metro,28 Apr – 4 May,786,26%,36%,28%,10%,8%,28 Apr – 4 May 2010,,2010-05-04
ComRes,Multiple ITV News The Independent,2–3 May,1024,29%,37%,26%,8%,8%,2–3 May 2010,,2010-05-03
YouGov,The Sun,2–3 May,1455,28%,35%,28%,9%,7%,2–3 May 2010,,2010-05-03
Opinium[permanent dead link‍],Daily Express,30 Apr – 3 May,1870,28%,33%,27%,12%,5%,30 Apr – 3 May 2010,,2010-05-03
YouGov[permanent dead link‍],The Sun,1–2 May,1475,28%,34%,29%,9%,5%,1–2 May 2010,,2010-05-02
ComRes,Multiple ITV News The Independent,1–2 May,1024,29%,37%,26%,8%,8%,1–2 May 2010,,2010-05-02
ICM[permanent dead link‍],The Guardian,30 Apr – 2 May,1026,28%,33%,28%,12%,5%,30 Apr – 2 May 2010,,2010-05-02
YouGov[permanent dead link‍],The Sunday Times,30 Apr – 1 May,1483,27%,35%,28%,10%,7%,30 Apr – 1 May 2010,,2010-05-01
ComRes,Multiple The Independent Sunday Mirror,30 Apr – 1 May,1019,28%,38%,25%,9%,10%,30 Apr – 1 May 2010,,2010-05-01
YouGov[permanent dead link‍],The Sun,30 Apr,1412,28%,34%,28%,10%,6%,30 Apr 2010,,2010-04-30
ICM,The Sunday Telegraph,30 Apr,1019,29%,36%,27%,8%,7%,30 Apr 2010,,2010-04-30
Angus Reid Public Opinion,Sunday Express,29–30 Apr,1874,23%,35%,29%,12% UKIP on 5%  BNP on 3%  Greens on 1%  SNP on 1%  PC on 1% Other on 1%,6%,29–30 Apr 2010,,2010-04-30
