Dates conducted,Polling organisation/client,Sample size,Con,Lab,Lib,UKIP,Grn,Others,Lead,date_year_appended,end_date
7 May,2015 general election (GB only)[7][8],–,37.8%,31.2%,8.1%,12.9%,3.8%,6.3%,6.6%,7 May 2015,2015-05-07
5–7 May,Populus[9],3917,34%,34%,9%,13%,5%,6%,Tie,5–7 May 2015,2015-05-07
6 May,Survation[10](unpublished),1045,37%,31%,10%,11%,5%,6%,6%,6 May 2015,2015-05-06
30 Apr–6 May,SurveyMonkey[11],18131,34%,28%,7%,13%,8%,9%,6%,30 Apr–6 May 2015,2015-05-06
5–6 May,Lord Ashcroft,3028,33%,33%,10%,11%,6%,8%,Tie,5–6 May 2015,2015-05-06
5–6 May,Ipsos MORI/Evening Standard,1186,36%,35%,8%,11%,5%,5%,1%,5–6 May 2015,2015-05-06
4–6 May,YouGov/The Sun,10307,34%,34%,10%,12%,4%,6%,Tie,4–6 May 2015,2015-05-06
5–6 May,"ComRes/Daily Mail, ITV News Archived 18 May 2015 at the Wayback Machine",1007,35%,34%,9%,12%,4%,6%,1%,5–6 May 2015,2015-05-06
4–6 May,Survation/Daily Mirror[n 1],4088,31%,31%,10%,16%,5%,7%,Tie,4–6 May 2015,2015-05-06
3–6 May,ICM/The Guardian[n 2],2023,34%,35%,9%,11%,4%,7%,1%,3–6 May 2015,2015-05-06
3–6 May,ICM/The Guardian[n 3],1560,35%,35%,9%,11%,3%,7%,Tie,3–6 May 2015,2015-05-06
1–6 May,Panelbase Archived 18 May 2015 at the Wayback Machine[12],3019,31%,33%,8%,16%,5%,7%,2%,1–6 May 2015,2015-05-06
4–5 May,Opinium,2960,35%,34%,8%,12%,6%,5%,1%,4–5 May 2015,2015-05-05
4–5 May,YouGov/The Sun,2148,34%,34%,9%,12%,5%,6%,Tie,4–5 May 2015,2015-05-05
4–5 May,Survation/Daily Mirror,1504,33%,34%,9%,16%,4%,4%,1%,4–5 May 2015,2015-05-05
3–5 May,"ComRes/Daily Mail, ITV News Archived 22 October 2015 at the Wayback Machine",1011,35%,32%,9%,14%,4%,6%,3%,3–5 May 2015,2015-05-05
3–5 May,"BMG/May2015.com, New Statesman",1009,34%,34%,10%,12%,4%,6%,Tie,3–5 May 2015,2015-05-05
3–4 May,YouGov/The Sun,1664,33%,33%,10%,12%,5%,6%,Tie,3–4 May 2015,2015-05-04
30 Apr–4 May,TNS,1185,33%,32%,8%,14%,6%,6%,1%,30 Apr–4 May 2015,2015-05-04
2–3 May,YouGov/The Sun,1789,34%,33%,9%,12%,5%,7%,1%,2–3 May 2015,2015-05-03
1–3 May,Lord Ashcroft,1001,32%,30%,11%,12%,7%,9%,2%,1–3 May 2015,2015-05-03
1–3 May,Populus,2054,34%,34%,10%,13%,5%,5%,Tie,1–3 May 2015,2015-05-03
1–2 May,YouGov/Sunday Times,1967,34%,33%,8%,13%,5%,7%,1%,1–2 May 2015,2015-05-02
1–2 May,Survation/Mail on Sunday,2128,31%,34%,8%,17%,4%,6%,3%,1–2 May 2015,2015-05-02
30 Apr–1 May,YouGov/The Sun,1575,33%,34%,8%,14%,5%,5%,1%,30 Apr–1 May 2015,2015-05-01
30 Apr–1 May,Survation/Daily Mirror,1117,33%,34%,9%,16%,3%,5%,1%,30 Apr–1 May 2015,2015-05-01
