Dates conducted,Polling organisation/client,Sample size,Con,Lab,UKIP,Lib,SNP,Grn,Others,Lead,date_year_appended,end_date
8 June,General Election results (GB only) [2],–,43.5%,41.0%,1.9%,7.6%,3.1%,1.7%,1.2%,2.5%,8 June 2017,2017-06-08
6–7 Jun,Ipsos MORI/Evening Standard,1291,44%,36%,4%,7%,5%,2%,2%,8%,6–7 Jun 2017,2017-06-07
6–7 Jun,BMG/The Herald,1199,46%,33%,5%,8%,4%,3%,2%,13%,6–7 Jun 2017,2017-06-07
6–7 Jun,Survation,2798,41%,40%,2%,8%,4%,2%,2%,1%,6–7 Jun 2017,2017-06-07
6–7 Jun,ICM/The Guardian,1532,46%,34%,5%,7%,5%,2%,1%,12%,6–7 Jun 2017,2017-06-07
5–7 Jun,YouGov/The Times[a],2130,42%[a],35%[a],5%,10%,5%[b],2%,1%,7%[a],5–7 Jun 2017,2017-06-07
5–7 Jun,ComRes/Independent,2051,44%,34%,5%,9%,4%,2%,1%,10%,5–7 Jun 2017,2017-06-07
4–7 Jun,Qriously/Wired,2213,39%,41%,4%,6%,3%,7%,7%,2%,4–7 Jun 2017,2017-06-07
2–7 Jun,Panelbase,3018,44%,36%,5%,7%,4%,2%,2%,8%,2–7 Jun 2017,2017-06-07
1–7 Jun,Kantar Public Archived 11 June 2017 at the Wayback Machine,2159,43%,38%,4%,7%,4%,2%,2%,5%,1–7 Jun 2017,2017-06-07
4–6 Jun,Opinium,3002,43%,36%,5%,8%,5%,2%,1%,7%,4–6 Jun 2017,2017-06-06
2–4 Jun,ICM/The Guardian,2000,45%,34%,5%,8%,4%,3%,1%,11%,2–4 Jun 2017,2017-06-04
3 Jun,"London terror attack, national campaigning partially suspended on 4 June[5]","London terror attack, national campaigning partially suspended on 4 June[5]","London terror attack, national campaigning partially suspended on 4 June[5]","London terror attack, national campaigning partially suspended on 4 June[5]","London terror attack, national campaigning partially suspended on 4 June[5]","London terror attack, national campaigning partially suspended on 4 June[5]","London terror attack, national campaigning partially suspended on 4 June[5]","London terror attack, national campaigning partially suspended on 4 June[5]","London terror attack, national campaigning partially suspended on 4 June[5]","London terror attack, national campaigning partially suspended on 4 June[5]",3 Jun 2017,2017-06-03
3 Jun,Survation/Mail on Sunday,1049,40%,39%,5%,8%,4%,5%,5%,1%,3 Jun 2017,2017-06-03
2–3 Jun,Survation/Good Morning Britain[c],1103,41%,40%,3%,6%,4%,1%,4%,1%,2–3 Jun 2017,2017-06-03
1–2 Jun,YouGov/Sunday Times,1989,42%,38%,4%,9%,4%[b],2%,0%,4%,1–2 Jun 2017,2017-06-02
31 May–2 Jun,ICM/The Sun on Sunday,2051,45%,34%,5%,9%,4%,3%,1%,11%,31 May–2 Jun 2017,2017-06-02
31 May–2 Jun,"ComRes/Sunday Mirror, Independent on Sunday",2038,47%,35%,4%,8%,3%,1%,1%,12%,31 May–2 Jun 2017,2017-06-02
31 May–1 Jun,Norstat,1013,39%,35%,6%,8%,*,3%,9%,4%,31 May–1 Jun 2017,2017-06-01
31 May–1 Jun,ORB/Telegraph,1656,45%,36%,4%,8%,7%,7%,7%,9%,31 May–1 Jun 2017,2017-06-01
30 May–1 Jun,Ipsos MORI/Evening Standard[c],1046,45%,40%,2%,7%,3%[b],2%,1%,5%,30 May–1 Jun 2017,2017-06-01
26 May–1 Jun,Panelbase,1224,44%,36%,5%,7%,5%,2%,1%,8%,26 May–1 Jun 2017,2017-06-01
30–31 May,Opinium/Observer,2006,43%,37%,5%,6%,5%,2%,1%,6%,30–31 May 2017,2017-05-31
30–31 May,YouGov/The Times,1875,42%,39%,4%,7%,4%[b],2%,1%,3%,30–31 May 2017,2017-05-31
25–30 May,Kantar Public Archived 14 August 2017 at the Wayback Machine,1199,43%,33%,4%,11%,4%,3%,1%,10%,25–30 May 2017,2017-05-30
26–29 May,ICM/The Guardian,2002,45%,33%,5%,8%,4%,3%,2%,12%,26–29 May 2017,2017-05-29
26–29 May,Qriously,1153,43%,39%,5%,6%,3%,2%,3%,4%,26–29 May 2017,2017-05-29
26–27 May,Survation/Good Morning Britain[c],1009,43%,37%,4%,8%,2%,1%,4%,6%,26–27 May 2017,2017-05-27
25–26 May,YouGov/Sunday Times,2003,43%,36%,4%,9%,4%[b],2%,1%,7%,25–26 May 2017,2017-05-26
24–26 May,ICM/The Sun on Sunday,2044,46%,32%,5%,8%,4%,2%,1%,14%,24–26 May 2017,2017-05-26
24–26 May,"ComRes/Sunday Mirror, Independent on Sunday",2024,46%,34%,5%,8%,4%,2%,1%,12%,24–26 May 2017,2017-05-26
24–25 May,ORB/Sunday Telegraph,1556,44%,38%,5%,7%,4%,2%,2%,6%,24–25 May 2017,2017-05-25
24–25 May,YouGov/The Times,2052,43%,38%,4%,10%,5%[b],1%,0%,5%,24–25 May 2017,2017-05-25
23–24 May,Opinium/Observer,2002,45%,35%,5%,7%,5%,2%,1%,10%,23–24 May 2017,2017-05-24
19–23 May,Panelbase/The Sunday Times,1019,48%,33%,4%,7%,5%,2%,1%,15%,19–23 May 2017,2017-05-23
22 May,"Manchester Arena bombing, national campaigning suspended 23–24 May","Manchester Arena bombing, national campaigning suspended 23–24 May","Manchester Arena bombing, national campaigning suspended 23–24 May","Manchester Arena bombing, national campaigning suspended 23–24 May","Manchester Arena bombing, national campaigning suspended 23–24 May","Manchester Arena bombing, national campaigning suspended 23–24 May","Manchester Arena bombing, national campaigning suspended 23–24 May","Manchester Arena bombing, national campaigning suspended 23–24 May","Manchester Arena bombing, national campaigning suspended 23–24 May","Manchester Arena bombing, national campaigning suspended 23–24 May",22 May 2017,2017-05-22
