Dates conducted,Pollster/client(s),Area,Sample size,Con,Lab,Lib,SNP,Plaid Cymru,Grn,Ref,UKIP,Change UK,Others,Lead,date_year_appended,Other,end_date
12 Dec 2019,2019 general election,UK,–,43.6%,32.1%,11.6%,3.9%,0.5%,2.7%,2.0%,0.1%,0.03%,3.1%,11.5,12 Dec 2019 2019,,2019-12-12
12 Dec 2019,2019 general election,GB,–,44.7%,33.0%,11.8%,4.0%,0.5%,2.8%,2.1%,0.1%,0.03%,1.0%,11.7,12 Dec 2019 2019,,2019-12-12
10–11 Dec,Survation,GB,2395,45%,34%,9%,4%,1%,3%,3%,–,–,1%,11,10–11 Dec 2019,,2019-12-11
10–11 Dec,Panelbase,GB,3174,43%,34%,11%,4%,0%,3%,4%,–,–,–,9,10–11 Dec 2019,,2019-12-11
10–11 Dec,Opinium Archived 11 December 2019 at the Wayback Machine,GB,3005,45%,33%,12%,4%,0%,2%,2%,–,–,1%,12,10–11 Dec 2019,,2019-12-11
9–11 Dec,Ipsos MORI/Evening Standard,GB,2213,44%,33%,12%,4%,1%,3%,2%,–,–,6%,11,9–11 Dec 2019,,2019-12-11
9–11 Dec,Deltapoll,GB,1818,45%,35%,10%,4%,0%,3%,4%,–,–,0%,10,9–11 Dec 2019,,2019-12-11
9–11 Dec,Kantar Archived 11 December 2019 at the Wayback Machine,GB,2815,44%,32%,13%,4%,0%,3%,3%,–,–,1%,12,9–11 Dec 2019,,2019-12-11
6–11 Dec,BMG/The Independent,GB,1660,41%,32%,14%,–,–,3%,4%,–,–,6%,9,6–11 Dec 2019,,2019-12-11
9–10 Dec,SavantaComRes/The Daily Telegraph,GB,2051,41%,36%,12%,4%,–,2%,3%,–,–,2%,5,9–10 Dec 2019,,2019-12-10
8–10 Dec,Number Cruncher Politics/Bloomberg,GB,1009,43%,33%,12%,4%,1%,3%,3%,–,–,1%,10,8–10 Dec 2019,,2019-12-10
4–10 Dec,YouGov (MRP),GB,105612,43%,34%,12%,3%,0%,3%,3%,–,–,2%,9,4–10 Dec 2019,,2019-12-10
27 Nov – 10 Dec,FocalData (MRP),GB,21213,42%,34%,14%,3%,1%,3%,3%,–,–,1%,8,27 Nov – 10 Dec 2019,,2019-12-10
6–9 Dec,ICM Research/Reuters,GB,2011,42%,36%,12%,3%,0%,2%,3%,0%,–,1%,6,6–9 Dec 2019,,2019-12-09
6–8 Dec,SavantaComRes/Remain United[a],GB,6073,43%,36%,12%,4%,0%,2%,3%,–,–,1%,7,6–8 Dec 2019,,2019-12-08
5–8 Dec,Qriously,UK,2222,43%,30%,12%,2%,–,4%,3%,–,–,5%,13,5–8 Dec 2019,,2019-12-08
5–7 Dec,Survation/Good Morning Britain,UK,1012,45%,31%,11%,3%,1%,2%,4%,–,–,3%,14,5–7 Dec 2019,,2019-12-07
5–7 Dec,Deltapoll/The Mail on Sunday,GB,1533,44%,33%,11%,4%,0%,2%,3%,1%,–,1%,11,5–7 Dec 2019,,2019-12-07
5–6 Dec,YouGov/The Sunday Times,GB,1680,43%,33%,13%,4%,0%,3%,3%,–,–,1%,10,5–6 Dec 2019,,2019-12-06
4–6 Dec,BMG/The Independent,GB,1542,41%,32%,14%,3%,0%,4%,4%,0%,0%,1%,9,4–6 Dec 2019,,2019-12-06
4–6 Dec,Opinium/The Observer,GB,2002,46%,31%,13%,4%,0%,2%,3%,–,–,1%,15,4–6 Dec 2019,,2019-12-06
4–6 Dec,Panelbase,GB,2033,43%,34%,13%,4%,1%,2%,3%,–,–,0%,9,4–6 Dec 2019,,2019-12-06
4–5 Dec,SavantaComRes/The Sunday Telegraph,GB,2034,41%,33%,12%,4%,–,2%,3%,–,–,5%,8,4–5 Dec 2019,,2019-12-05
2–5 Dec,SavantaComRes/Remain United[a],GB,2005,42%,36%,11%,3%,–,2%,4%,–,–,1%,6,2–5 Dec 2019,,2019-12-05
2–4 Dec,Ipsos MORI/Evening Standard,GB,1545,44%,32%,13%,4%,1%,3%,2%,–,–,1%,12,2–4 Dec 2019,,2019-12-04
