Dates conducted,Pollster,Client,Area,Sample size,Con,Lab,Lib,SNP,Grn,Ref,Others,Lead,date_year_appended,end_date
4 Jul 2024,2024 general election,–,UK,–,23.7%,33.7%,12.2%,2.5%,6.8%,14.3%,6.8%,10.0,4 Jul 2024 2024,2024-07-04
4 Jul 2024,2024 general election,–,GB,–,24.4%,34.7%,12.5%,2.5%,6.9%,14.7%,4.3%,10.3,4 Jul 2024 2024,2024-07-04
3 Jul,Number Cruncher Politics,,GB,2496,23%,41%,11%,2%,7%,13%,3% Plaid Cymru on 1% Other on 2%,18,3 Jul 2024,2024-07-03
2–3 Jul,JL Partners,The Rest Is Politics,GB,2005,23%,38%,13%,3%,5%,17%,3% Plaid Cymru on 0% Other on 3%,15,2–3 Jul 2024,2024-07-03
2–3 Jul,Savanta,,UK,2101,20%,39%,10%,2%,5%,17%,7%,19,2–3 Jul 2024,2024-07-03
2–3 Jul,We Think,,GB,1210,23%,41%,11%,2%,7%,15%,2%,18,2–3 Jul 2024,2024-07-03
1–3 Jul,Survation,Good Morning Britain,GB,1679,20%,38%,12%,3%,7%,17%,3% Plaid Cymru on 1% Other on 2%,18,1–3 Jul 2024,2024-07-03
1–3 Jul,Norstat,,GB,3134,24%,37%,11%,4%,6%,16%,2% Plaid Cymru on 1% Other on 1%,13,1–3 Jul 2024,2024-07-03
1–3 Jul,Opinium,,GB,2219,21%,41%,11%,2%,7%,17%,1% Plaid Cymru on 0% Other on 1%,20,1–3 Jul 2024,2024-07-03
1–3 Jul,Ipsos,,GB,2076,19%,37%,11%,5%,9%,15%,5% Plaid Cymru on 1% Other on 4%,18,1–3 Jul 2024,2024-07-03
29 Jun – 3 Jul,Deltapoll,,GB,1737,22%,39%,10%,2%,7%,17%,3% Plaid Cymru on 1% Other on 2%,17,29 Jun – 3 Jul 2024,2024-07-03
2 Jul,PeoplePolling,GB News,GB,1260,16%,36%,10%,4%,9%,20%,5%,16,2 Jul 2024,2024-07-02
1–2 Jul,Whitestone Insight,Daily Express/Daily Mirror,GB,2008,21%,38%,10%,3%,7%,18%,3% Plaid Cymru on 1% Workers Party of Britain on 0% SDP on 0% Other on 2%,17,1–2 Jul 2024,2024-07-02
30 Jun – 2 Jul,BMG,The i,GB,1854,22%,39%,11%,3%,7%,16%,3% Plaid Cymru on 0%Other on 3%,17,30 Jun – 2 Jul 2024,2024-07-02
28 Jun – 2 Jul,Techne,,GB,5503,21%,40%,11%,3%,6%,16%,3%,19,28 Jun – 2 Jul 2024,2024-07-02
28 Jun – 2 Jul,Redfield & Wilton,,GB,20000,22%,41%,10%,3%,6%,16%,2% Plaid Cymru on 0% Workers Party of Britain on 1% Alba Party on 0% Other on 1%,19,28 Jun – 2 Jul 2024,2024-07-02
26 Jun – 2 Jul,Survation,Good Morning Britain,UK,1022,18%,38%,11%,3%,7%,17%,6% Plaid Cymru on 0% Other on 5%,20,26 Jun – 2 Jul 2024,2024-07-02
19 Jun – 2 Jul,YouGov (MRP),,GB,47751,22%,39%,12%,3%,7%,15%,3% Plaid Cymru on 1% Other on 2%,17,19 Jun – 2 Jul 2024,2024-07-02
28 Jun – 1 Jul,Verian,,GB,2135,21%,36%,13%,3%,7%,16%,4% Plaid Cymru on 1% Other on 2%,15,28 Jun – 1 Jul 2024,2024-07-01
28 Jun – 1 Jul,JL Partners,The Rest Is Politics,GB,2028,24%,39%,10%,4%,5%,16%,2% Plaid Cymru on 1% Other on 1%,15,28 Jun – 1 Jul 2024,2024-07-01
27 Jun – 1 Jul,Lord Ashcroft,,GB,5183,19%,38%,11%,3%,8%,18%,3%,19,27 Jun – 1 Jul 2024,2024-07-01
24 Jun – 1 Jul,More in Common (MRP),The News Agents,GB,13556,24%,40%,11%,2%,6%,14%,3%,16,24 Jun – 1 Jul 2024,2024-07-01
15 Jun – 1 Jul,Survation (MRP),,GB,34558,23%,42%,11%,2%,5%,11%,4% Plaid Cymru on 1% Other on 3%,19,15 Jun – 1 Jul 2024,2024-07-01
10 Jun – 1 Jul,Focaldata (MRP),,GB,36726,23%,40%,12%,3%,5%,16%,1% Plaid Cymru on 1% Other on 1%,19,10 Jun – 1 Jul 2024,2024-07-01
28–30 Jun,Savanta,The Telegraph,UK,2287,24%,39%,10%,3%,4%,13%,7%,17,28–30 Jun 2024,2024-06-30
28–30 Jun,More in Common,,GB,4525,24%,39%,12%,3%,5%,15%,2% Plaid Cymru on 0% Other on 2%,15,28–30 Jun 2024,2024-06-30
27–29 Jun,Deltapoll,Mail on Sunday,GB,1645,21%,42%,11%,3%,4%,16%,3% Plaid Cymru on 1% Other on 2%,21,27–29 Jun 2024,2024-06-29
27–28 Jun,We Think,,GB,1210,20%,42%,10%,3%,7%,16%,2%,22,27–28 Jun 2024,2024-06-28
26–28 Jun,Savanta,The Telegraph,UK,2092,21%,38%,11%,2%,6%,14%,7%,17,26–28 Jun 2024,2024-06-28
26–28 Jun,Opinium,The Observer,GB,1503,20%,40%,13%,3%,6%,17%,2% Plaid Cymru on 1% Other on 1%,20,26–28 Jun 2024,2024-06-28
26–28 Jun,More in Common,,GB,3361,24%,39%,13%,3%,5%,13%,3% Plaid Cymru on 1% Other on 2%,15,26–28 Jun 2024,2024-06-28
26–27 Jun,Whitestone Insight,Daily Express/Daily Mirror,GB,2012,18%,38%,11%,2%,7%,21%,3% Plaid Cymru on 1% Workers Party of Britain on 0% SDP on 0% Other on 2%,17,26–27 Jun 2024,2024-06-27
26–27 Jun,Techne,,GB,1643,19%,41%,12%,3%,5%,17%,3%,22,26–27 Jun 2024,2024-06-27
